model_family,checkpoint,loading_precision,dataset,batch_size,method,seed,n_shot,sample,accuracy
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,language_modeling,0,0,100,0.2500
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,language_modeling,1,0,100,0.2400
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,language_modeling,2,0,100,0.2700
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,language_modeling,3,0,100,0.2300
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,language_modeling,4,0,100,0.2800
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,language_modeling,0,0,100,0.2900
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,language_modeling,0,0,100,0.2600
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,language_modeling,0,0,100,0.2600
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,language_modeling,1,0,100,0.1300
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,language_modeling,1,0,100,0.2300
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,language_modeling,2,0,100,0.2500
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,language_modeling,2,0,100,0.2600
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,language_modeling,3,0,100,0.2500
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,language_modeling,3,0,100,0.2400
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,language_modeling,4,0,100,0.2000
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,language_modeling,4,0,100,0.3100
GIT,microsoft/git-base-vqav2,FP32,scienceqa,2,language_modeling,0,0,100,0.3000
GIT,microsoft/git-base-vqav2,FP32,scienceqa,2,language_modeling,1,0,100,0.2400
GIT,microsoft/git-base-vqav2,FP32,scienceqa,2,language_modeling,2,0,100,0.2800
GIT,microsoft/git-base-vqav2,FP32,scienceqa,2,language_modeling,3,0,100,0.3100
GIT,microsoft/git-base-vqav2,FP32,scienceqa,2,language_modeling,4,0,100,0.2400
GIT,microsoft/git-base-vqav2,FP32,vqa,2,language_modeling,0,0,100,0.6000
GIT,microsoft/git-base-vqav2,FP32,scienceqa,2,average_language_modeling,0,0,100,0.1600
GIT,microsoft/git-base-vqav2,FP32,scienceqa,2,average_language_modeling,1,0,100,0.2000
GIT,microsoft/git-base-vqav2,FP32,scienceqa,2,average_language_modeling,2,0,100,0.2200
GIT,microsoft/git-base-vqav2,FP32,scienceqa,2,average_language_modeling,3,0,100,0.1800
GIT,microsoft/git-base-vqav2,FP32,scienceqa,2,average_language_modeling,4,0,100,0.1300
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,average_language_modeling,0,0,100,0.3000
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,average_language_modeling,1,0,100,0.2600
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,average_language_modeling,2,0,100,0.2200
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,average_language_modeling,3,0,100,0.2600
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,average_language_modeling,4,0,100,0.2700
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,average_language_modeling,0,0,100,0.1900
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,average_language_modeling,0,0,100,0.3100
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,average_language_modeling,1,0,100,0.2000
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,average_language_modeling,1,0,100,0.2800
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,average_language_modeling,2,0,100,0.2100
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,average_language_modeling,2,0,100,0.2300
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,average_language_modeling,3,0,100,0.2200
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,average_language_modeling,3,0,100,0.2800
GIT,microsoft/git-base-textvqa,FP32,scienceqa,2,average_language_modeling,4,0,100,0.2000
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,average_language_modeling,4,0,100,0.2800
GIT,microsoft/git-base-textvqa,FP32,vqa,2,language_modeling,0,0,100,0.1900
GIT,microsoft/git-base-textvqa,FP32,vqa,2,average_language_modeling,0,0,100,0.1800
