model_family,checkpoint,loading_precision,dataset,batch_size,method,seed,n_shot,sample,accuracy
BLIP2-OPT,Salesforce/blip2-opt-2.7b,INT8,vqa,16,language_modeling,0,0,100,0.0600
BLIP2-OPT,Salesforce/blip2-opt-2.7b,INT8,vqa,16,language_modeling,0,0,100,0.0600
BLIP2-OPT,Salesforce/blip2-opt-2.7b,INT4,vqa,4,language_modeling,0,0,100,0.4300
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,scienceqa,2,language_modeling,0,0,100,0.3800
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,scienceqa,2,language_modeling,0,0,100,0.3800
BLIP2-OPT,Salesforce/blip2-opt-2.7b,BF16,scienceqa,2,language_modeling,0,0,100,0.2200
BLIP2-T5,Salesforce/blip2-flan-t5-xl,FP16,scienceqa,2,language_modeling,0,0,100,0.3600
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,language_modeling,0,0,100,0.2300
PaliGemma,google/paligemma-3b-ft-ai2d-448,FP16,ai2d,2,language_modeling,0,0,100,0.2100
PaliGemma,google/paligemma-3b-ft-ai2d-448,FP16,ai2d,2,language_modeling,0,0,100,0.2100
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,language_modeling,0,0,100,0.2100
